date,close,high,low,open,volume,trend,rsi,rsi_fast_k,rsi_fast_d,williams_r,macd,macd_signal,macd_hist,ma_20,ma_50,ma_65,ma_200,bb_upp,bb_mid,bb_low,ppo,mom,roc,ema_20,ema_50,ema_65,ema_200
2012-08-01,137.59,138.73,137.4,138.7,138293740,,,,,,,,,,,,,,,,,,,,,,
2012-08-02,136.64,137.57,135.58,136.55,199556580,,,,,,,,,,,,,,,,,,,,,,
2012-08-03,139.349,139.64,136.6794,138.56,157824975,,,,,,,,,,,,,,,,,,,,,,
2012-08-06,139.62,140.17,139.56,139.72,86327738,,,,,,,,,,,,,,,,,,,,,,
2012-08-07,140.32,140.92,140.03,140.18,109545089,,,,,,,,,,,,,141.44133594314178,138.7038,135.96626405685822,,,,,,,
2012-08-08,140.49,140.65,139.81,139.85,89754633,,,,,,,,,,,,,142.06021334098662,139.28379999999999,136.50738665901335,,,,,,,
2012-08-09,140.61,140.89,140.15,140.29,90291642,,,,,,,,,,,,,141.07881420570163,140.0778,139.07678579429836,,,,,,,
2012-08-10,140.84,140.89,139.81,140.04,99792622,,,,,,,,,,,,,141.2043574107853,140.376,139.54764258921472,,,,,,,
2012-08-13,140.77,140.84,140.04,140.6,79426869,,,,,,,,,,,,,140.9822127058063,140.606,140.2297872941937,,,,,,,
2012-08-14,140.79,141.38,140.37,141.29,102379363,,,,,,,,,,,,,140.96046112957194,140.7,140.43953887042804,,,,,,,
2012-08-15,140.95,141.19,140.55,140.64,71085811,,,,,,,,,,,,,141.0126898275878,140.792,140.5713101724122,,3.359999999999985,2.4420379388036872,,,,
2012-08-16,141.99,142.16,140.8,141.15,112014164,,,,,,,,,,,,,141.99841066201043,141.068,140.1375893379896,,5.350000000000023,3.9153981264637094,,,,
2012-08-17,142.18,142.3,141.86,142.23,90813666,,,,,,,,,,,,,142.5713202014008,141.336,140.10067979859923,,2.8310000000000173,2.0315897494779467,,,,
2012-08-20,142.19,142.22,141.59,141.98,78255657,,,,,-1.6369047619049653,,,,,,,,142.85715803354125,141.62000000000003,140.3828419664588,,2.569999999999993,1.8407104999283774,,,,
2012-08-21,141.76,143.09,141.45,142.54,105581009,,,,,-17.709720372836408,,,,,,,,142.73300816099427,141.81400000000002,140.89499183900577,,1.4399999999999977,1.026225769669331,,,,
2012-08-22,141.82,142.05,141.07,141.4,133243431,,,,,-19.810938133716142,,,,,,,,142.34339274050674,141.988,141.63260725949326,,1.329999999999984,0.9466865969107952,,,,
2012-08-23,140.665,141.48,140.44,141.47,111466361,,,,,-68.69688385269151,,,,,,,,142.83909318606797,141.723,140.60690681393206,,0.0549999999999784,0.039115283407986645,,,,
2012-08-24,141.51,141.83,140.22,140.31,99481192,,,,,-48.170731707317444,,,,,,,,142.61030113091562,141.589,140.56769886908438,,0.6699999999999875,0.4757171258165105,,,,
2012-08-27,141.54,142.08,141.34,141.89,68785850,,,,,-47.256097560975945,,,,,,,,142.28870838251703,141.45899999999997,140.62929161748292,,0.7699999999999818,0.5469915464942687,,,,
2012-08-28,141.4,141.84,140.97,141.18,75689536,,,,,-51.52439024390235,,,,140.6512,,,,142.16029425190953,141.38699999999997,140.6137057480904,,0.6100000000000136,0.4332694083386768,140.6512,,,
2012-08-29,141.51,141.89,141.12,141.52,65421300,,70.82890541976616,75.0104386602678,41.06298762795479,-48.170731707317444,,,,140.8472,,,,141.99187330134225,141.32499999999996,140.65812669865767,,0.5600000000000023,0.39730400851365477,140.73299047619045,,,
2012-08-30,140.49,140.94,140.19,140.9,96589830,,63.574978663587586,0.0,31.087664683669075,-85.24590163934376,,,,141.03969999999998,,,,142.09567983719342,141.28999999999996,140.4843201628065,,-1.5,-1.0564124234101024,140.70984852607708,,,
2012-08-31,141.16,141.82,140.36,141.29,151970364,,65.98377342009225,33.892216636090176,36.30088509878599,-66.55172413793115,,,,141.13025,,,,141.99738021588033,141.21999999999997,140.44261978411961,,-1.0200000000000102,-0.717400478266994,140.7527200950221,,,
2012-09-04,141.03,141.46,140.13,141.04,120226199,,65.10443609455155,25.08401940826388,19.65874534811802,-69.59459459459448,,,,141.20075,,,,141.83190755708995,141.11799999999997,140.40409244290998,,-1.1599999999999966,-0.8158098319150375,140.77912770502002,,,
2012-09-05,140.91,141.47,140.63,141.09,100660254,,64.2721824684422,13.687004858519924,24.221080300957997,-73.64864864864867,,,,141.23024999999998,,,,141.68501127815748,141.01999999999995,140.35498872184243,,-0.8499999999999943,-0.599604966139955,140.79159173311334,,,
2012-09-06,143.77,143.78,141.75,141.76,158272434,,72.94792838812572,100.0,46.25700808892794,-0.2739726027394764,,,,141.39425,,,,143.813568704969,141.47199999999995,139.13043129503092,0.4413972660050172,1.950000000000017,1.3749823720208942,141.07524966329302,,,
2012-09-07,144.33,144.39,143.88,144.01,107272023,,74.2373339225879,100.0,71.22900161950665,-1.4084507042247414,,,,141.58024999999998,,,,145.22106021409866,142.23999999999995,139.25893978590125,0.4086489230960111,3.6650000000000205,2.605481107596086,141.38522588583655,,,
2012-09-10,143.51,144.44,143.46,144.19,86458407,,69.1566173970494,51.73201151818501,83.91067050606168,-21.577726218097595,,,,141.71374999999998,,,,145.6014217955965,142.70999999999998,139.81857820440345,0.32059548840109153,2.0,1.4133276800226025,141.58758532528068,,,
2012-09-11,143.91,144.37,143.56,143.6,88759995,,70.2037151994921,61.84066298843528,71.19089150220677,-12.296983758700717,,,,141.87075,,,,145.72060386922348,143.28599999999997,140.85139613077646,0.3873119994710826,2.3700000000000045,1.674438321322591,141.80876767525396,,,
2012-09-12,144.39,144.55,143.9,144.39,87640880,,71.42892231332983,45.30702287336971,52.95989912666334,-3.6199095022629963,,,,142.05074999999997,,,,144.65161481468573,143.98199999999997,143.3123851853142,0.42670386417126516,2.9899999999999807,2.1145685997171038,142.05459932522976,,,
2012-09-13,146.59,147.04,143.99,144.37,225470102,,76.1586494325963,100.0,69.04922862060167,-6.512301013024441,,,,142.33274999999998,,,,146.68641491305223,144.546,142.40558508694775,0.5525445632135149,5.0800000000000125,3.5898523072574573,142.48654224663645,,,
2012-09-14,147.24,148.11,146.76,146.88,169776992,,77.32600863257953,100.0,81.76900762445658,-10.902255639097778,,,,142.59525,,,,148.12721056280014,145.128,142.12878943719983,0.7111780568284873,6.75,4.804612427930821,142.93925250886156,,,
2012-09-17,146.74,147.19,146.37,146.94,119427726,,74.37720042671711,56.65248453733382,85.55082817911129,-17.167919799498765,,,,142.82325,,,,148.4777928914858,145.77399999999997,143.07020710851415,0.8504354094306877,5.5800000000000125,3.952961178804193,143.30122846039856,,,
2012-09-18,146.62,146.81,146.25,146.49,98326520,,73.66748472935247,34.17877251215885,63.610419016497566,-18.67167919799506,1.6623973648290473,1.144144939171399,0.5182524256576484,143.04475,,,,148.29802320875748,146.31599999999997,144.33397679124246,1.0513244549632854,5.590000000000003,3.9636956675884516,143.6173019403606,,,
2012-09-19,146.7,147.17,146.41,146.79,128318257,,73.84264016765007,4.753302580812456,31.861519876768387,-17.6691729323311,1.6984484435090224,1.2550056400389236,0.4434428034700988,143.29175,,,,147.25236694663263,146.77799999999996,146.3036330533673,1.2130974151538747,5.789999999999992,4.109005748350003,143.91089223175481,,,
2012-09-20,146.71,146.79,145.63,146.03,154009764,,73.86551361682243,5.386479595709558,14.772851562893635,-17.54385964912284,1.708135773602919,1.3456316667517227,0.3625041068511963,143.53625,,,,147.24713368784296,146.80199999999996,146.35686631215697,1.382777817336534,2.9399999999999977,2.0449328789037935,144.17747392396865,,,
2012-09-21,145.87,146.67,145.81,146.64,108737426,,68.56411673754017,0.0,3.379927392174018,-28.070175438596543,1.6292510803875757,1.4023555494788933,0.22689553090868242,143.79649999999998,,,,147.19076994504783,146.52799999999996,145.8652300549521,1.537308339605962,1.539999999999992,1.066999237857691,144.3386668835907,,,
2012-09-24,145.645,145.98,145.04,145.15,95681978,,67.2041621883851,0.0,1.7954931985698661,-32.95454545454542,1.5309311517386561,1.4280706699308459,0.10286048180781027,144.00325,,,,147.22290152644354,146.30899999999997,145.3950984735564,1.5467263955277202,2.1350000000000193,1.48770120549091,144.46307956134396,,,
2012-09-25,144.1,146.24,144.06,145.96,133165138,,58.777408447618164,0.0,1.3618735768735254e-14,-63.05031446540897,1.313205496509596,1.4050976352465958,-0.09189213873699975,144.13125,,,,147.71432448788426,145.80499999999998,143.8956755121157,1.4811326568617214,0.18999999999999773,0.1320269612952618,144.42850055550167,,,
